"a1";"a2";"a3";"a4";"label";"id";"is_outlier"
4.6;3.1;1.5;0.2;"Iris-virginica";"id_4";"yes"
5.8;4.0;1.2;0.2;"Iris-virginica";"id_15";"yes"
5.7;4.4;1.5;0.4;"Iris-virginica";"id_16";"yes"
5.4;3.9;1.3;0.4;"Iris-virginica";"id_17";"yes"
5.7;3.8;1.7;0.3;"Iris-virginica";"id_19";"yes"
4.8;3.4;1.9;0.2;"Iris-virginica";"id_25";"yes"
4.9;3.1;1.5;0.1;"Iris-virginica";"id_35";"yes"
4.9;3.1;1.5;0.1;"Iris-virginica";"id_38";"yes"
4.4;3.0;1.3;0.2;"Iris-virginica";"id_39";"yes"
5.0;3.5;1.3;0.3;"Iris-virginica";"id_41";"yes"
5.0;3.5;1.6;0.6;"Iris-virginica";"id_44";"yes"
5.1;3.8;1.9;0.4;"Iris-virginica";"id_45";"yes"
4.8;3.0;1.4;0.3;"Iris-virginica";"id_46";"yes"
5.1;3.8;1.6;0.2;"Iris-virginica";"id_47";"yes"
4.6;3.2;1.4;0.2;"Iris-virginica";"id_48";"yes"
7.0;3.2;4.7;1.4;"Iris-versicolor";"id_51";"no"
6.4;3.2;4.5;1.5;"Iris-versicolor";"id_52";"no"
6.9;3.1;4.9;1.5;"Iris-versicolor";"id_53";"no"
6.5;2.8;4.6;1.5;"Iris-versicolor";"id_55";"no"
5.7;2.8;4.5;1.3;"Iris-versicolor";"id_56";"no"
4.9;2.4;3.3;1.0;"Iris-versicolor";"id_58";"no"
5.0;2.0;3.5;1.0;"Iris-versicolor";"id_61";"no"
5.9;3.0;4.2;1.5;"Iris-versicolor";"id_62";"no"
6.0;2.2;4.0;1.0;"Iris-versicolor";"id_63";"no"
6.1;2.9;4.7;1.4;"Iris-versicolor";"id_64";"no"
6.7;3.1;4.4;1.4;"Iris-versicolor";"id_66";"no"
5.6;3.0;4.5;1.5;"Iris-versicolor";"id_67";"no"
5.8;2.7;4.1;1.0;"Iris-versicolor";"id_68";"no"
5.6;2.5;3.9;1.1;"Iris-versicolor";"id_70";"no"
5.9;3.2;4.8;1.8;"Iris-versicolor";"id_71";"no"
6.3;2.5;4.9;1.5;"Iris-versicolor";"id_73";"no"
6.1;2.8;4.7;1.2;"Iris-versicolor";"id_74";"no"
6.6;3.0;4.4;1.4;"Iris-versicolor";"id_76";"no"
6.8;2.8;4.8;1.4;"Iris-versicolor";"id_77";"no"
6.7;3.0;5.0;1.7;"Iris-versicolor";"id_78";"no"
5.5;2.4;3.8;1.1;"Iris-versicolor";"id_81";"no"
5.5;2.4;3.7;1.0;"Iris-versicolor";"id_82";"no"
5.8;2.7;3.9;1.2;"Iris-versicolor";"id_83";"no"
6.0;2.7;5.1;1.6;"Iris-versicolor";"id_84";"no"
5.4;3.0;4.5;1.5;"Iris-versicolor";"id_85";"no"
6.7;3.1;4.7;1.5;"Iris-versicolor";"id_87";"no"
5.6;3.0;4.1;1.3;"Iris-versicolor";"id_89";"no"
5.5;2.5;4.0;1.3;"Iris-versicolor";"id_90";"no"
5.5;2.6;4.4;1.2;"Iris-versicolor";"id_91";"no"
5.8;2.6;4.0;1.2;"Iris-versicolor";"id_93";"no"
5.0;2.3;3.3;1.0;"Iris-versicolor";"id_94";"no"
5.7;3.0;4.2;1.2;"Iris-versicolor";"id_96";"no"
5.7;2.9;4.2;1.3;"Iris-versicolor";"id_97";"no"
6.2;2.9;4.3;1.3;"Iris-versicolor";"id_98";"no"
5.1;2.5;3.0;1.1;"Iris-versicolor";"id_99";"no"
6.3;3.3;6.0;2.5;"Iris-virginica";"id_101";"no"
5.8;2.7;5.1;1.9;"Iris-virginica";"id_102";"no"
7.1;3.0;5.9;2.1;"Iris-virginica";"id_103";"no"
6.5;3.0;5.8;2.2;"Iris-virginica";"id_105";"no"
7.6;3.0;6.6;2.1;"Iris-virginica";"id_106";"no"
7.3;2.9;6.3;1.8;"Iris-virginica";"id_108";"no"
6.7;2.5;5.8;1.8;"Iris-virginica";"id_109";"no"
7.2;3.6;6.1;2.5;"Iris-virginica";"id_110";"no"
6.5;3.2;5.1;2.0;"Iris-virginica";"id_111";"no"
6.4;2.7;5.3;1.9;"Iris-virginica";"id_112";"no"
6.8;3.0;5.5;2.1;"Iris-virginica";"id_113";"no"
5.8;2.8;5.1;2.4;"Iris-virginica";"id_115";"no"
6.4;3.2;5.3;2.3;"Iris-virginica";"id_116";"no"
6.5;3.0;5.5;1.8;"Iris-virginica";"id_117";"no"
6.0;2.2;5.0;1.5;"Iris-virginica";"id_120";"no"
6.9;3.2;5.7;2.3;"Iris-virginica";"id_121";"no"
6.3;2.7;4.9;1.8;"Iris-virginica";"id_124";"no"
6.7;3.3;5.7;2.1;"Iris-virginica";"id_125";"no"
7.2;3.2;6.0;1.8;"Iris-virginica";"id_126";"no"
6.4;2.8;5.6;2.1;"Iris-virginica";"id_129";"no"
7.2;3.0;5.8;1.6;"Iris-virginica";"id_130";"no"
7.4;2.8;6.1;1.9;"Iris-virginica";"id_131";"no"
6.4;2.8;5.6;2.2;"Iris-virginica";"id_133";"no"
6.3;2.8;5.1;1.5;"Iris-virginica";"id_134";"no"
6.1;2.6;5.6;1.4;"Iris-virginica";"id_135";"no"
7.7;3.0;6.1;2.3;"Iris-virginica";"id_136";"no"
6.0;3.0;4.8;1.8;"Iris-virginica";"id_139";"no"
6.9;3.1;5.4;2.1;"Iris-virginica";"id_140";"no"
6.7;3.1;5.6;2.4;"Iris-virginica";"id_141";"no"
6.9;3.1;5.1;2.3;"Iris-virginica";"id_142";"no"
5.8;2.7;5.1;1.9;"Iris-virginica";"id_143";"no"
6.8;3.2;5.9;2.3;"Iris-virginica";"id_144";"no"
6.7;3.3;5.7;2.5;"Iris-virginica";"id_145";"no"
6.3;2.5;5.0;1.9;"Iris-virginica";"id_147";"no"
6.5;3.0;5.2;2.0;"Iris-virginica";"id_148";"no"
